Month of Date,Country,Number of Active Flights,Increase Percentage_x,Increase Percentage_y
2021-12-01,Barbados,10,-40.0,-0.4
2022-01-01,Barbados,8,-40.0,-0.4
2022-02-01,Barbados,12,-40.0,-0.4
2022-03-01,Barbados,12,-40.0,-0.4
2022-04-01,Barbados,10,-40.0,-0.4
2022-05-01,Barbados,4,-40.0,-0.4
2022-06-01,Barbados,6,-40.0,-0.4
2022-07-01,Barbados,6,-40.0,-0.4
2022-08-01,Barbados,8,-40.0,-0.4
2022-09-01,Barbados,8,-40.0,-0.4
2022-10-01,Barbados,6,-40.0,-0.4
2020-01-01,Bangladesh,10,80.0,0.8
2020-02-01,Bangladesh,6,80.0,0.8
2020-06-01,Bangladesh,2,80.0,0.8
2020-07-01,Bangladesh,2,80.0,0.8
2020-09-01,Bangladesh,2,80.0,0.8
2020-10-01,Bangladesh,4,80.0,0.8
2020-11-01,Bangladesh,14,80.0,0.8
2020-12-01,Bangladesh,10,80.0,0.8
2021-01-01,Bangladesh,6,80.0,0.8
2021-02-01,Bangladesh,16,80.0,0.8
2021-03-01,Bangladesh,8,80.0,0.8
2021-04-01,Bangladesh,6,80.0,0.8
2021-05-01,Bangladesh,16,80.0,0.8
2021-06-01,Bangladesh,10,80.0,0.8
2021-07-01,Bangladesh,12,80.0,0.8
2021-08-01,Bangladesh,6,80.0,0.8
2021-09-01,Bangladesh,6,80.0,0.8
2021-10-01,Bangladesh,16,80.0,0.8
2021-11-01,Bangladesh,2,80.0,0.8
2021-12-01,Bangladesh,4,80.0,0.8
2022-01-01,Bangladesh,8,80.0,0.8
2022-02-01,Bangladesh,6,80.0,0.8
2022-03-01,Bangladesh,10,80.0,0.8
2022-04-01,Bangladesh,8,80.0,0.8
2022-05-01,Bangladesh,6,80.0,0.8
2022-06-01,Bangladesh,8,80.0,0.8
2022-07-01,Bangladesh,10,80.0,0.8
2022-08-01,Bangladesh,20,80.0,0.8
2022-09-01,Bangladesh,22,80.0,0.8
2022-10-01,Bangladesh,18,80.0,0.8
2020-01-01,Bahrain,50,-28.000000000000004,-0.28
2020-02-01,Bahrain,16,-28.000000000000004,-0.28
2020-03-01,Bahrain,20,-28.000000000000004,-0.28
2020-04-01,Bahrain,8,-28.000000000000004,-0.28
2020-05-01,Bahrain,6,-28.000000000000004,-0.28
2020-06-01,Bahrain,6,-28.000000000000004,-0.28
2020-07-01,Bahrain,8,-28.000000000000004,-0.28
2020-08-01,Bahrain,12,-28.000000000000004,-0.28
2020-09-01,Bahrain,4,-28.000000000000004,-0.28
2020-10-01,Bahrain,14,-28.000000000000004,-0.28
2020-11-01,Bahrain,12,-28.000000000000004,-0.28
2020-12-01,Bahrain,32,-28.000000000000004,-0.28
2021-01-01,Bahrain,24,-28.000000000000004,-0.28
2021-02-01,Bahrain,8,-28.000000000000004,-0.28
2021-03-01,Bahrain,16,-28.000000000000004,-0.28
2021-04-01,Bahrain,18,-28.000000000000004,-0.28
2021-05-01,Bahrain,26,-28.000000000000004,-0.28
2021-06-01,Bahrain,34,-28.000000000000004,-0.28
2021-07-01,Bahrain,20,-28.000000000000004,-0.28
2021-08-01,Bahrain,32,-28.000000000000004,-0.28
2021-09-01,Bahrain,22,-28.000000000000004,-0.28
2021-10-01,Bahrain,34,-28.000000000000004,-0.28
2021-11-01,Bahrain,18,-28.000000000000004,-0.28
2021-12-01,Bahrain,12,-28.000000000000004,-0.28
2022-01-01,Bahrain,30,-28.000000000000004,-0.28
2022-02-01,Bahrain,18,-28.000000000000004,-0.28
2022-03-01,Bahrain,18,-28.000000000000004,-0.28
2022-04-01,Bahrain,26,-28.000000000000004,-0.28
2022-05-01,Bahrain,32,-28.000000000000004,-0.28
2022-06-01,Bahrain,36,-28.000000000000004,-0.28
2022-07-01,Bahrain,22,-28.000000000000004,-0.28
2022-08-01,Bahrain,40,-28.000000000000004,-0.28
2022-09-01,Bahrain,20,-28.000000000000004,-0.28
2022-10-01,Bahrain,36,-28.000000000000004,-0.28
2020-01-01,Austria,186,-9.67741935483871,-0.0967741935483871
2020-02-01,Austria,142,-9.67741935483871,-0.0967741935483871
2020-03-01,Austria,94,-9.67741935483871,-0.0967741935483871
2020-04-01,Austria,14,-9.67741935483871,-0.0967741935483871
2020-05-01,Austria,18,-9.67741935483871,-0.0967741935483871
2020-06-01,Austria,32,-9.67741935483871,-0.0967741935483871
2020-07-01,Austria,68,-9.67741935483871,-0.0967741935483871
2020-08-01,Austria,122,-9.67741935483871,-0.0967741935483871
2020-09-01,Austria,98,-9.67741935483871,-0.0967741935483871
2020-10-01,Austria,72,-9.67741935483871,-0.0967741935483871
2020-11-01,Austria,44,-9.67741935483871,-0.0967741935483871
2020-12-01,Austria,26,-9.67741935483871,-0.0967741935483871
2021-01-01,Austria,52,-9.67741935483871,-0.0967741935483871
2021-02-01,Austria,34,-9.67741935483871,-0.0967741935483871
2021-03-01,Austria,38,-9.67741935483871,-0.0967741935483871
2021-04-01,Austria,64,-9.67741935483871,-0.0967741935483871
2021-05-01,Austria,74,-9.67741935483871,-0.0967741935483871
2021-06-01,Austria,102,-9.67741935483871,-0.0967741935483871
2021-07-01,Austria,142,-9.67741935483871,-0.0967741935483871
2021-08-01,Austria,142,-9.67741935483871,-0.0967741935483871
2021-09-01,Austria,156,-9.67741935483871,-0.0967741935483871
2021-10-01,Austria,172,-9.67741935483871,-0.0967741935483871
2021-11-01,Austria,114,-9.67741935483871,-0.0967741935483871
2021-12-01,Austria,108,-9.67741935483871,-0.0967741935483871
2022-01-01,Austria,106,-9.67741935483871,-0.0967741935483871
2022-02-01,Austria,106,-9.67741935483871,-0.0967741935483871
2022-03-01,Austria,156,-9.67741935483871,-0.0967741935483871
2022-04-01,Austria,178,-9.67741935483871,-0.0967741935483871
2022-05-01,Austria,188,-9.67741935483871,-0.0967741935483871
2022-06-01,Austria,198,-9.67741935483871,-0.0967741935483871
2022-07-01,Austria,146,-9.67741935483871,-0.0967741935483871
2022-08-01,Austria,178,-9.67741935483871,-0.0967741935483871
2022-09-01,Austria,204,-9.67741935483871,-0.0967741935483871
2022-10-01,Austria,168,-9.67741935483871,-0.0967741935483871
2020-01-01,Australia,696,8.333333333333332,0.08333333333333333
2020-02-01,Australia,780,8.333333333333332,0.08333333333333333
2020-03-01,Australia,628,8.333333333333332,0.08333333333333333
2020-04-01,Australia,130,8.333333333333332,0.08333333333333333
2020-05-01,Australia,202,8.333333333333332,0.08333333333333333
2020-06-01,Australia,226,8.333333333333332,0.08333333333333333
2020-07-01,Australia,248,8.333333333333332,0.08333333333333333
2020-08-01,Australia,206,8.333333333333332,0.08333333333333333
2020-09-01,Australia,234,8.333333333333332,0.08333333333333333
2020-10-01,Australia,254,8.333333333333332,0.08333333333333333
2020-11-01,Australia,290,8.333333333333332,0.08333333333333333
2020-12-01,Australia,368,8.333333333333332,0.08333333333333333
2021-01-01,Australia,362,8.333333333333332,0.08333333333333333
2021-02-01,Australia,416,8.333333333333332,0.08333333333333333
2021-03-01,Australia,568,8.333333333333332,0.08333333333333333
2021-04-01,Australia,638,8.333333333333332,0.08333333333333333
2021-05-01,Australia,664,8.333333333333332,0.08333333333333333
2021-06-01,Australia,450,8.333333333333332,0.08333333333333333
2021-07-01,Australia,340,8.333333333333332,0.08333333333333333
2021-08-01,Australia,218,8.333333333333332,0.08333333333333333
2021-09-01,Australia,200,8.333333333333332,0.08333333333333333
2021-10-01,Australia,302,8.333333333333332,0.08333333333333333
2021-11-01,Australia,326,8.333333333333332,0.08333333333333333
2021-12-01,Australia,548,8.333333333333332,0.08333333333333333
2022-01-01,Australia,526,8.333333333333332,0.08333333333333333
2022-02-01,Australia,458,8.333333333333332,0.08333333333333333
2022-03-01,Australia,568,8.333333333333332,0.08333333333333333
2022-04-01,Australia,654,8.333333333333332,0.08333333333333333
2022-05-01,Australia,674,8.333333333333332,0.08333333333333333
2022-06-01,Australia,708,8.333333333333332,0.08333333333333333
2022-07-01,Australia,698,8.333333333333332,0.08333333333333333
2022-08-01,Australia,640,8.333333333333332,0.08333333333333333
2022-09-01,Australia,692,8.333333333333332,0.08333333333333333
2022-10-01,Australia,754,8.333333333333332,0.08333333333333333
2020-01-01,Argentina,26,-38.46153846153847,-0.38461538461538464
2020-02-01,Argentina,30,-38.46153846153847,-0.38461538461538464
2020-03-01,Argentina,20,-38.46153846153847,-0.38461538461538464
2020-04-01,Argentina,2,-38.46153846153847,-0.38461538461538464
2020-05-01,Argentina,2,-38.46153846153847,-0.38461538461538464
2020-06-01,Argentina,8,-38.46153846153847,-0.38461538461538464
2020-07-01,Argentina,4,-38.46153846153847,-0.38461538461538464
2021-04-01,Argentina,2,-38.46153846153847,-0.38461538461538464
2021-09-01,Argentina,2,-38.46153846153847,-0.38461538461538464
2021-10-01,Argentina,10,-38.46153846153847,-0.38461538461538464
2021-11-01,Argentina,24,-38.46153846153847,-0.38461538461538464
2021-12-01,Argentina,30,-38.46153846153847,-0.38461538461538464
2022-01-01,Argentina,44,-38.46153846153847,-0.38461538461538464
2022-02-01,Argentina,24,-38.46153846153847,-0.38461538461538464
2022-03-01,Argentina,26,-38.46153846153847,-0.38461538461538464
2022-04-01,Argentina,20,-38.46153846153847,-0.38461538461538464
2022-05-01,Argentina,12,-38.46153846153847,-0.38461538461538464
2022-06-01,Argentina,18,-38.46153846153847,-0.38461538461538464
2022-07-01,Argentina,12,-38.46153846153847,-0.38461538461538464
2022-08-01,Argentina,18,-38.46153846153847,-0.38461538461538464
2022-09-01,Argentina,18,-38.46153846153847,-0.38461538461538464
2022-10-01,Argentina,16,-38.46153846153847,-0.38461538461538464
2020-01-01,Algeria,28,50.0,0.5
2020-02-01,Algeria,14,50.0,0.5
2020-03-01,Algeria,12,50.0,0.5
2020-05-01,Algeria,2,50.0,0.5
2020-07-01,Algeria,4,50.0,0.5
2020-08-01,Algeria,4,50.0,0.5
2020-09-01,Algeria,4,50.0,0.5
2020-10-01,Algeria,6,50.0,0.5
2020-11-01,Algeria,2,50.0,0.5
2021-02-01,Algeria,4,50.0,0.5
2021-03-01,Algeria,2,50.0,0.5
2021-04-01,Algeria,2,50.0,0.5
2021-05-01,Algeria,4,50.0,0.5
2021-06-01,Algeria,4,50.0,0.5
2021-07-01,Algeria,10,50.0,0.5
2021-08-01,Algeria,6,50.0,0.5
2021-09-01,Algeria,6,50.0,0.5
2021-10-01,Algeria,6,50.0,0.5
2021-11-01,Algeria,8,50.0,0.5
2021-12-01,Algeria,4,50.0,0.5
2022-01-01,Algeria,2,50.0,0.5
2022-02-01,Algeria,12,50.0,0.5
2022-03-01,Algeria,6,50.0,0.5
2022-04-01,Algeria,6,50.0,0.5
2022-05-01,Algeria,8,50.0,0.5
2022-06-01,Algeria,20,50.0,0.5
2022-07-01,Algeria,34,50.0,0.5
2022-08-01,Algeria,22,50.0,0.5
2022-09-01,Algeria,20,50.0,0.5
2022-10-01,Algeria,42,50.0,0.5
