Month of Date,City,Number of Active Flights,Increase Percentage
2020-01-01,Zurich,160,-0.2
2020-02-01,Zurich,170,-0.2
2020-03-01,Zurich,74,-0.2
2020-04-01,Zurich,8,-0.2
2020-05-01,Zurich,16,-0.2
2020-06-01,Zurich,34,-0.2
2020-07-01,Zurich,48,-0.2
2020-08-01,Zurich,76,-0.2
2020-09-01,Zurich,74,-0.2
2020-10-01,Zurich,48,-0.2
2020-11-01,Zurich,34,-0.2
2020-12-01,Zurich,44,-0.2
2021-01-01,Zurich,38,-0.2
2021-02-01,Zurich,22,-0.2
2021-03-01,Zurich,34,-0.2
2021-04-01,Zurich,38,-0.2
2021-05-01,Zurich,52,-0.2
2021-06-01,Zurich,74,-0.2
2021-07-01,Zurich,110,-0.2
2021-08-01,Zurich,126,-0.2
2021-09-01,Zurich,106,-0.2
2021-10-01,Zurich,110,-0.2
2021-11-01,Zurich,102,-0.2
2021-12-01,Zurich,82,-0.2
2022-01-01,Zurich,102,-0.2
2022-02-01,Zurich,54,-0.2
2022-03-01,Zurich,86,-0.2
2022-04-01,Zurich,144,-0.2
2022-05-01,Zurich,120,-0.2
2022-06-01,Zurich,142,-0.2
2022-07-01,Zurich,144,-0.2
2022-08-01,Zurich,148,-0.2
2022-09-01,Zurich,140,-0.2
2022-10-01,Zurich,128,-0.2
2020-01-01,Zaragoza,8,-0.5
2020-02-01,Zaragoza,2,-0.5
2020-03-01,Zaragoza,4,-0.5
2020-05-01,Zaragoza,2,-0.5
2020-06-01,Zaragoza,2,-0.5
2020-07-01,Zaragoza,2,-0.5
2020-08-01,Zaragoza,2,-0.5
2020-09-01,Zaragoza,6,-0.5
2020-10-01,Zaragoza,4,-0.5
2020-11-01,Zaragoza,4,-0.5
2020-12-01,Zaragoza,6,-0.5
2021-01-01,Zaragoza,6,-0.5
2021-02-01,Zaragoza,6,-0.5
2021-03-01,Zaragoza,4,-0.5
2021-04-01,Zaragoza,4,-0.5
2021-05-01,Zaragoza,10,-0.5
2021-06-01,Zaragoza,4,-0.5
2021-07-01,Zaragoza,6,-0.5
2021-08-01,Zaragoza,2,-0.5
2021-09-01,Zaragoza,2,-0.5
2021-10-01,Zaragoza,4,-0.5
2021-11-01,Zaragoza,6,-0.5
2021-12-01,Zaragoza,2,-0.5
2022-01-01,Zaragoza,6,-0.5
2022-02-01,Zaragoza,12,-0.5
2022-03-01,Zaragoza,6,-0.5
2022-04-01,Zaragoza,4,-0.5
2022-06-01,Zaragoza,4,-0.5
2022-07-01,Zaragoza,4,-0.5
2022-08-01,Zaragoza,2,-0.5
2022-09-01,Zaragoza,8,-0.5
2022-10-01,Zaragoza,4,-0.5
2020-01-01,Wroclaw,6,1.0
2020-02-01,Wroclaw,4,1.0
2020-03-01,Wroclaw,4,1.0
2020-05-01,Wroclaw,2,1.0
2020-06-01,Wroclaw,2,1.0
2020-07-01,Wroclaw,4,1.0
2020-08-01,Wroclaw,10,1.0
2020-09-01,Wroclaw,4,1.0
2020-10-01,Wroclaw,4,1.0
2020-11-01,Wroclaw,2,1.0
2021-01-01,Wroclaw,6,1.0
2021-02-01,Wroclaw,2,1.0
2021-04-01,Wroclaw,2,1.0
2021-05-01,Wroclaw,4,1.0
2021-06-01,Wroclaw,10,1.0
2021-07-01,Wroclaw,8,1.0
2021-08-01,Wroclaw,12,1.0
2021-09-01,Wroclaw,18,1.0
2021-10-01,Wroclaw,14,1.0
2021-11-01,Wroclaw,8,1.0
2021-12-01,Wroclaw,14,1.0
2022-01-01,Wroclaw,14,1.0
2022-02-01,Wroclaw,4,1.0
2022-03-01,Wroclaw,6,1.0
2022-04-01,Wroclaw,14,1.0
2022-05-01,Wroclaw,10,1.0
2022-06-01,Wroclaw,2,1.0
2022-07-01,Wroclaw,14,1.0
2022-08-01,Wroclaw,10,1.0
2022-09-01,Wroclaw,8,1.0
2022-10-01,Wroclaw,12,1.0
2020-01-01,Wrightstown,4,-0.5
2020-06-01,Wrightstown,2,-0.5
2020-07-01,Wrightstown,2,-0.5
2020-09-01,Wrightstown,4,-0.5
2020-10-01,Wrightstown,6,-0.5
2020-12-01,Wrightstown,6,-0.5
2021-01-01,Wrightstown,2,-0.5
2021-02-01,Wrightstown,2,-0.5
2021-03-01,Wrightstown,4,-0.5
2021-05-01,Wrightstown,8,-0.5
2021-06-01,Wrightstown,6,-0.5
2021-07-01,Wrightstown,4,-0.5
2021-10-01,Wrightstown,2,-0.5
2021-11-01,Wrightstown,2,-0.5
2022-01-01,Wrightstown,4,-0.5
2022-02-01,Wrightstown,6,-0.5
2022-04-01,Wrightstown,2,-0.5
2022-07-01,Wrightstown,4,-0.5
2022-09-01,Wrightstown,4,-0.5
2022-10-01,Wrightstown,2,-0.5
2020-01-01,Wollongong,2,4.0
2020-02-01,Wollongong,6,4.0
2020-06-01,Wollongong,2,4.0
2020-07-01,Wollongong,2,4.0
2020-09-01,Wollongong,2,4.0
2020-11-01,Wollongong,8,4.0
2020-12-01,Wollongong,2,4.0
2021-01-01,Wollongong,6,4.0
2021-02-01,Wollongong,2,4.0
2021-03-01,Wollongong,6,4.0
2021-04-01,Wollongong,2,4.0
2021-05-01,Wollongong,4,4.0
2021-07-01,Wollongong,2,4.0
2021-08-01,Wollongong,2,4.0
2021-09-01,Wollongong,2,4.0
2021-10-01,Wollongong,4,4.0
2021-12-01,Wollongong,4,4.0
2022-01-01,Wollongong,4,4.0
2022-04-01,Wollongong,2,4.0
2022-05-01,Wollongong,4,4.0
2022-06-01,Wollongong,2,4.0
2022-07-01,Wollongong,4,4.0
2022-08-01,Wollongong,4,4.0
2022-09-01,Wollongong,4,4.0
2022-10-01,Wollongong,10,4.0
2020-01-01,Winston-salem,2,3.0
2020-08-01,Winston-salem,2,3.0
2020-10-01,Winston-salem,2,3.0
2020-11-01,Winston-salem,2,3.0
2020-12-01,Winston-salem,2,3.0
2021-02-01,Winston-salem,4,3.0
2021-03-01,Winston-salem,4,3.0
2021-04-01,Winston-salem,4,3.0
2021-05-01,Winston-salem,4,3.0
2021-06-01,Winston-salem,2,3.0
2021-07-01,Winston-salem,4,3.0
2021-08-01,Winston-salem,4,3.0
2021-09-01,Winston-salem,4,3.0
2021-10-01,Winston-salem,4,3.0
2021-11-01,Winston-salem,8,3.0
2021-12-01,Winston-salem,6,3.0
2022-01-01,Winston-salem,6,3.0
2022-02-01,Winston-salem,10,3.0
2022-03-01,Winston-salem,4,3.0
2022-04-01,Winston-salem,6,3.0
2022-05-01,Winston-salem,2,3.0
2022-06-01,Winston-salem,6,3.0
2022-08-01,Winston-salem,8,3.0
2022-09-01,Winston-salem,6,3.0
2022-10-01,Winston-salem,8,3.0
2020-01-01,Winnipeg,16,1.5
2020-02-01,Winnipeg,12,1.5
2020-03-01,Winnipeg,4,1.5
2020-04-01,Winnipeg,4,1.5
2021-02-01,Winnipeg,2,1.5
2021-06-01,Winnipeg,8,1.5
2021-07-01,Winnipeg,24,1.5
2021-08-01,Winnipeg,20,1.5
2021-09-01,Winnipeg,4,1.5
2021-10-01,Winnipeg,8,1.5
2021-11-01,Winnipeg,6,1.5
2021-12-01,Winnipeg,22,1.5
2022-01-01,Winnipeg,30,1.5
2022-02-01,Winnipeg,20,1.5
2022-03-01,Winnipeg,30,1.5
2022-04-01,Winnipeg,18,1.5
2022-05-01,Winnipeg,22,1.5
2022-06-01,Winnipeg,40,1.5
2022-07-01,Winnipeg,26,1.5
2022-08-01,Winnipeg,30,1.5
2022-09-01,Winnipeg,24,1.5
2022-10-01,Winnipeg,40,1.5
2020-01-01,Wilmington,4,0.0
2020-02-01,Wilmington,2,0.0
2020-04-01,Wilmington,6,0.0
2020-05-01,Wilmington,10,0.0
2020-06-01,Wilmington,8,0.0
2020-07-01,Wilmington,10,0.0
2020-09-01,Wilmington,4,0.0
2020-10-01,Wilmington,6,0.0
2020-11-01,Wilmington,10,0.0
2020-12-01,Wilmington,6,0.0
2021-01-01,Wilmington,4,0.0
2021-02-01,Wilmington,8,0.0
2021-03-01,Wilmington,2,0.0
2021-04-01,Wilmington,4,0.0
2021-05-01,Wilmington,4,0.0
2021-06-01,Wilmington,6,0.0
2021-07-01,Wilmington,10,0.0
2021-09-01,Wilmington,4,0.0
2021-10-01,Wilmington,8,0.0
2021-11-01,Wilmington,6,0.0
2022-02-01,Wilmington,2,0.0
2022-04-01,Wilmington,2,0.0
2022-05-01,Wilmington,4,0.0
2022-06-01,Wilmington,8,0.0
2022-09-01,Wilmington,4,0.0
2022-10-01,Wilmington,4,0.0
2020-01-01,Wickenburg,4,-0.5
2020-02-01,Wickenburg,6,-0.5
2020-03-01,Wickenburg,10,-0.5
2020-08-01,Wickenburg,4,-0.5
2020-11-01,Wickenburg,2,-0.5
2021-06-01,Wickenburg,4,-0.5
2021-09-01,Wickenburg,2,-0.5
2022-03-01,Wickenburg,2,-0.5
2022-08-01,Wickenburg,2,-0.5
2022-09-01,Wickenburg,2,-0.5
2022-10-01,Wickenburg,2,-0.5
2020-01-01,White Plains,28,0.9285714285714286
2020-02-01,White Plains,20,0.9285714285714286
2020-03-01,White Plains,28,0.9285714285714286
2020-04-01,White Plains,10,0.9285714285714286
2020-06-01,White Plains,14,0.9285714285714286
2020-07-01,White Plains,38,0.9285714285714286
2020-08-01,White Plains,18,0.9285714285714286
2020-09-01,White Plains,20,0.9285714285714286
2020-10-01,White Plains,18,0.9285714285714286
2020-11-01,White Plains,18,0.9285714285714286
2020-12-01,White Plains,26,0.9285714285714286
2021-01-01,White Plains,18,0.9285714285714286
2021-02-01,White Plains,24,0.9285714285714286
2021-03-01,White Plains,36,0.9285714285714286
2021-04-01,White Plains,44,0.9285714285714286
2021-05-01,White Plains,28,0.9285714285714286
2021-06-01,White Plains,48,0.9285714285714286
2021-07-01,White Plains,52,0.9285714285714286
2021-08-01,White Plains,56,0.9285714285714286
2021-09-01,White Plains,40,0.9285714285714286
2021-10-01,White Plains,30,0.9285714285714286
2021-11-01,White Plains,42,0.9285714285714286
2021-12-01,White Plains,34,0.9285714285714286
2022-01-01,White Plains,26,0.9285714285714286
2022-02-01,White Plains,40,0.9285714285714286
2022-03-01,White Plains,48,0.9285714285714286
2022-04-01,White Plains,34,0.9285714285714286
2022-05-01,White Plains,50,0.9285714285714286
2022-06-01,White Plains,60,0.9285714285714286
2022-07-01,White Plains,42,0.9285714285714286
2022-08-01,White Plains,58,0.9285714285714286
2022-09-01,White Plains,46,0.9285714285714286
2022-10-01,White Plains,54,0.9285714285714286
2020-01-01,Whidbey Island,2,0.0
2020-09-01,Whidbey Island,2,0.0
2022-10-01,Whidbey Island,2,0.0
2020-01-01,Whenuapai,2,0.0
2020-09-01,Whenuapai,2,0.0
2021-01-01,Whenuapai,2,0.0
2021-02-01,Whenuapai,4,0.0
2021-03-01,Whenuapai,2,0.0
2021-04-01,Whenuapai,2,0.0
2021-05-01,Whenuapai,4,0.0
2021-06-01,Whenuapai,2,0.0
2021-07-01,Whenuapai,6,0.0
2021-08-01,Whenuapai,2,0.0
2021-09-01,Whenuapai,2,0.0
2021-10-01,Whenuapai,2,0.0
2021-11-01,Whenuapai,2,0.0
2021-12-01,Whenuapai,2,0.0
2022-02-01,Whenuapai,2,0.0
2022-03-01,Whenuapai,2,0.0
2022-07-01,Whenuapai,6,0.0
2022-08-01,Whenuapai,4,0.0
2022-09-01,Whenuapai,6,0.0
2022-10-01,Whenuapai,2,0.0
2020-01-01,Westerland,2,1.0
2020-02-01,Westerland,2,1.0
2020-03-01,Westerland,4,1.0
2020-06-01,Westerland,6,1.0
2020-07-01,Westerland,8,1.0
2020-08-01,Westerland,6,1.0
2020-09-01,Westerland,4,1.0
2020-10-01,Westerland,4,1.0
2020-12-01,Westerland,2,1.0
2021-05-01,Westerland,2,1.0
2021-06-01,Westerland,2,1.0
2021-07-01,Westerland,8,1.0
2021-08-01,Westerland,6,1.0
2021-09-01,Westerland,2,1.0
2021-10-01,Westerland,4,1.0
2021-11-01,Westerland,2,1.0
2021-12-01,Westerland,2,1.0
2022-01-01,Westerland,2,1.0
2022-04-01,Westerland,2,1.0
2022-05-01,Westerland,8,1.0
2022-06-01,Westerland,4,1.0
2022-07-01,Westerland,6,1.0
2022-08-01,Westerland,4,1.0
2022-10-01,Westerland,4,1.0
2020-01-01,West Chicago,4,-0.5
2020-02-01,West Chicago,2,-0.5
2020-03-01,West Chicago,2,-0.5
2020-04-01,West Chicago,6,-0.5
2020-05-01,West Chicago,4,-0.5
2020-06-01,West Chicago,4,-0.5
2020-07-01,West Chicago,2,-0.5
2020-09-01,West Chicago,2,-0.5
2020-10-01,West Chicago,4,-0.5
2020-11-01,West Chicago,4,-0.5
2020-12-01,West Chicago,10,-0.5
2021-01-01,West Chicago,4,-0.5
2021-04-01,West Chicago,6,-0.5
2021-05-01,West Chicago,6,-0.5
2021-07-01,West Chicago,8,-0.5
2021-08-01,West Chicago,2,-0.5
2021-09-01,West Chicago,6,-0.5
2021-10-01,West Chicago,8,-0.5
2021-11-01,West Chicago,4,-0.5
2021-12-01,West Chicago,6,-0.5
2022-01-01,West Chicago,4,-0.5
2022-02-01,West Chicago,4,-0.5
2022-03-01,West Chicago,4,-0.5
2022-04-01,West Chicago,6,-0.5
2022-05-01,West Chicago,8,-0.5
2022-06-01,West Chicago,4,-0.5
2022-07-01,West Chicago,8,-0.5
2022-10-01,West Chicago,2,-0.5
2020-01-01,Wels,2,3.0
2020-04-01,Wels,2,3.0
2020-05-01,Wels,2,3.0
2020-06-01,Wels,4,3.0
2020-07-01,Wels,2,3.0
2020-08-01,Wels,2,3.0
2020-09-01,Wels,2,3.0
2020-10-01,Wels,2,3.0
2020-12-01,Wels,4,3.0
2021-02-01,Wels,4,3.0
2021-03-01,Wels,2,3.0
2021-04-01,Wels,4,3.0
2021-06-01,Wels,8,3.0
2021-07-01,Wels,4,3.0
2021-08-01,Wels,2,3.0
2021-09-01,Wels,2,3.0
2021-12-01,Wels,4,3.0
2022-01-01,Wels,2,3.0
2022-03-01,Wels,6,3.0
2022-04-01,Wels,2,3.0
2022-05-01,Wels,4,3.0
2022-06-01,Wels,2,3.0
2022-07-01,Wels,2,3.0
2022-09-01,Wels,6,3.0
2022-10-01,Wels,8,3.0
2020-01-01,Wellington,10,3.8
2020-02-01,Wellington,48,3.8
2020-03-01,Wellington,10,3.8
2020-04-01,Wellington,4,3.8
2020-05-01,Wellington,2,3.8
2020-06-01,Wellington,20,3.8
2020-07-01,Wellington,20,3.8
2020-08-01,Wellington,22,3.8
2020-09-01,Wellington,16,3.8
2020-10-01,Wellington,24,3.8
2020-11-01,Wellington,20,3.8
2020-12-01,Wellington,28,3.8
2021-01-01,Wellington,32,3.8
2021-02-01,Wellington,42,3.8
2021-03-01,Wellington,34,3.8
2021-04-01,Wellington,44,3.8
2021-05-01,Wellington,32,3.8
2021-06-01,Wellington,54,3.8
2021-07-01,Wellington,38,3.8
2021-08-01,Wellington,22,3.8
2021-09-01,Wellington,10,3.8
2021-10-01,Wellington,22,3.8
2021-11-01,Wellington,42,3.8
2021-12-01,Wellington,30,3.8
2022-01-01,Wellington,18,3.8
2022-02-01,Wellington,24,3.8
2022-03-01,Wellington,34,3.8
2022-04-01,Wellington,26,3.8
2022-05-01,Wellington,20,3.8
2022-06-01,Wellington,44,3.8
2022-07-01,Wellington,18,3.8
2022-08-01,Wellington,18,3.8
2022-09-01,Wellington,26,3.8
2022-10-01,Wellington,48,3.8
2020-01-01,Wellesbourne,2,0.0
2020-02-01,Wellesbourne,2,0.0
2020-12-01,Wellesbourne,2,0.0
2021-02-01,Wellesbourne,2,0.0
2021-06-01,Wellesbourne,2,0.0
2021-07-01,Wellesbourne,4,0.0
2021-08-01,Wellesbourne,2,0.0
2022-06-01,Wellesbourne,2,0.0
2022-08-01,Wellesbourne,4,0.0
2022-10-01,Wellesbourne,2,0.0
2020-01-01,Waterloo,8,0.0
2020-02-01,Waterloo,8,0.0
2020-03-01,Waterloo,4,0.0
2020-05-01,Waterloo,2,0.0
2020-06-01,Waterloo,2,0.0
2020-07-01,Waterloo,6,0.0
2020-08-01,Waterloo,14,0.0
2020-09-01,Waterloo,2,0.0
2020-10-01,Waterloo,8,0.0
2020-11-01,Waterloo,12,0.0
2020-12-01,Waterloo,6,0.0
2021-01-01,Waterloo,2,0.0
2021-02-01,Waterloo,12,0.0
2021-03-01,Waterloo,2,0.0
2021-04-01,Waterloo,4,0.0
2021-05-01,Waterloo,10,0.0
2021-06-01,Waterloo,12,0.0
2021-07-01,Waterloo,4,0.0
2021-08-01,Waterloo,10,0.0
2021-09-01,Waterloo,16,0.0
2021-10-01,Waterloo,4,0.0
2021-11-01,Waterloo,12,0.0
2021-12-01,Waterloo,14,0.0
2022-01-01,Waterloo,8,0.0
2022-02-01,Waterloo,8,0.0
2022-03-01,Waterloo,4,0.0
2022-04-01,Waterloo,18,0.0
2022-05-01,Waterloo,4,0.0
2022-06-01,Waterloo,6,0.0
2022-07-01,Waterloo,12,0.0
2022-08-01,Waterloo,16,0.0
2022-09-01,Waterloo,18,0.0
2022-10-01,Waterloo,8,0.0
2020-01-01,Wassau,8,-0.5
2020-02-01,Wassau,4,-0.5
2020-03-01,Wassau,12,-0.5
2020-04-01,Wassau,4,-0.5
2020-05-01,Wassau,4,-0.5
2020-07-01,Wassau,2,-0.5
2020-09-01,Wassau,2,-0.5
2020-10-01,Wassau,2,-0.5
2020-11-01,Wassau,6,-0.5
2021-01-01,Wassau,10,-0.5
2021-03-01,Wassau,2,-0.5
2021-04-01,Wassau,4,-0.5
2021-05-01,Wassau,12,-0.5
2021-06-01,Wassau,4,-0.5
2021-07-01,Wassau,6,-0.5
2021-08-01,Wassau,4,-0.5
2021-09-01,Wassau,6,-0.5
2021-11-01,Wassau,6,-0.5
2021-12-01,Wassau,8,-0.5
2022-01-01,Wassau,2,-0.5
2022-03-01,Wassau,2,-0.5
2022-04-01,Wassau,4,-0.5
2022-05-01,Wassau,10,-0.5
2022-07-01,Wassau,6,-0.5
2022-08-01,Wassau,2,-0.5
2022-09-01,Wassau,2,-0.5
2022-10-01,Wassau,4,-0.5
2020-01-01,Washington,294,0.46938775510204084
2020-02-01,Washington,298,0.46938775510204084
2020-03-01,Washington,328,0.46938775510204084
2020-04-01,Washington,94,0.46938775510204084
2020-05-01,Washington,90,0.46938775510204084
2020-06-01,Washington,122,0.46938775510204084
2020-07-01,Washington,186,0.46938775510204084
2020-08-01,Washington,152,0.46938775510204084
2020-09-01,Washington,154,0.46938775510204084
2020-10-01,Washington,156,0.46938775510204084
2020-11-01,Washington,138,0.46938775510204084
2020-12-01,Washington,198,0.46938775510204084
2021-01-01,Washington,152,0.46938775510204084
2021-02-01,Washington,124,0.46938775510204084
2021-03-01,Washington,200,0.46938775510204084
2021-04-01,Washington,218,0.46938775510204084
2021-05-01,Washington,228,0.46938775510204084
2021-06-01,Washington,278,0.46938775510204084
2021-07-01,Washington,338,0.46938775510204084
2021-08-01,Washington,290,0.46938775510204084
2021-09-01,Washington,272,0.46938775510204084
2021-10-01,Washington,270,0.46938775510204084
2021-11-01,Washington,346,0.46938775510204084
2021-12-01,Washington,350,0.46938775510204084
2022-01-01,Washington,308,0.46938775510204084
2022-02-01,Washington,326,0.46938775510204084
2022-03-01,Washington,384,0.46938775510204084
2022-04-01,Washington,376,0.46938775510204084
2022-05-01,Washington,348,0.46938775510204084
2022-06-01,Washington,364,0.46938775510204084
2022-07-01,Washington,340,0.46938775510204084
2022-08-01,Washington,350,0.46938775510204084
2022-09-01,Washington,328,0.46938775510204084
2022-10-01,Washington,432,0.46938775510204084
2020-01-01,Warsaw,110,0.2
2020-02-01,Warsaw,118,0.2
2020-03-01,Warsaw,56,0.2
2020-04-01,Warsaw,8,0.2
2020-05-01,Warsaw,16,0.2
2020-06-01,Warsaw,24,0.2
2020-07-01,Warsaw,64,0.2
2020-08-01,Warsaw,56,0.2
2020-09-01,Warsaw,58,0.2
2020-10-01,Warsaw,82,0.2
2020-11-01,Warsaw,44,0.2
2020-12-01,Warsaw,52,0.2
2021-01-01,Warsaw,54,0.2
2021-02-01,Warsaw,26,0.2
2021-03-01,Warsaw,52,0.2
2021-04-01,Warsaw,50,0.2
2021-05-01,Warsaw,46,0.2
2021-06-01,Warsaw,66,0.2
2021-07-01,Warsaw,104,0.2
2021-08-01,Warsaw,74,0.2
2021-09-01,Warsaw,86,0.2
2021-10-01,Warsaw,84,0.2
2021-11-01,Warsaw,102,0.2
2021-12-01,Warsaw,100,0.2
2022-01-01,Warsaw,82,0.2
2022-02-01,Warsaw,68,0.2
2022-03-01,Warsaw,76,0.2
2022-04-01,Warsaw,110,0.2
2022-05-01,Warsaw,142,0.2
2022-06-01,Warsaw,140,0.2
2022-07-01,Warsaw,126,0.2
2022-08-01,Warsaw,110,0.2
2022-09-01,Warsaw,114,0.2
2022-10-01,Warsaw,132,0.2
2020-01-01,Vitoria,10,0.2
2020-02-01,Vitoria,24,0.2
2020-03-01,Vitoria,6,0.2
2020-06-01,Vitoria,4,0.2
2020-08-01,Vitoria,2,0.2
2020-09-01,Vitoria,4,0.2
2020-10-01,Vitoria,14,0.2
2020-11-01,Vitoria,4,0.2
2020-12-01,Vitoria,10,0.2
2021-01-01,Vitoria,6,0.2
2021-02-01,Vitoria,8,0.2
2021-03-01,Vitoria,2,0.2
2021-05-01,Vitoria,4,0.2
2021-06-01,Vitoria,4,0.2
2021-07-01,Vitoria,14,0.2
2021-08-01,Vitoria,14,0.2
2021-09-01,Vitoria,10,0.2
2021-10-01,Vitoria,2,0.2
2021-11-01,Vitoria,14,0.2
2021-12-01,Vitoria,6,0.2
2022-01-01,Vitoria,6,0.2
2022-02-01,Vitoria,10,0.2
2022-03-01,Vitoria,8,0.2
2022-04-01,Vitoria,6,0.2
2022-05-01,Vitoria,10,0.2
2022-06-01,Vitoria,12,0.2
2022-07-01,Vitoria,8,0.2
2022-08-01,Vitoria,14,0.2
2022-09-01,Vitoria,2,0.2
2022-10-01,Vitoria,12,0.2
2020-01-01,Vineyard Haven MA,4,2.5
2020-04-01,Vineyard Haven MA,4,2.5
2020-05-01,Vineyard Haven MA,2,2.5
2020-06-01,Vineyard Haven MA,6,2.5
2020-07-01,Vineyard Haven MA,16,2.5
2020-08-01,Vineyard Haven MA,14,2.5
2020-09-01,Vineyard Haven MA,8,2.5
2020-10-01,Vineyard Haven MA,14,2.5
2020-12-01,Vineyard Haven MA,2,2.5
2021-01-01,Vineyard Haven MA,8,2.5
2021-02-01,Vineyard Haven MA,4,2.5
2021-03-01,Vineyard Haven MA,6,2.5
2021-04-01,Vineyard Haven MA,8,2.5
2021-05-01,Vineyard Haven MA,8,2.5
2021-06-01,Vineyard Haven MA,30,2.5
2021-07-01,Vineyard Haven MA,18,2.5
2021-08-01,Vineyard Haven MA,30,2.5
2021-09-01,Vineyard Haven MA,14,2.5
2021-10-01,Vineyard Haven MA,10,2.5
2021-11-01,Vineyard Haven MA,8,2.5
2021-12-01,Vineyard Haven MA,4,2.5
2022-03-01,Vineyard Haven MA,2,2.5
2022-04-01,Vineyard Haven MA,8,2.5
2022-06-01,Vineyard Haven MA,12,2.5
2022-07-01,Vineyard Haven MA,22,2.5
2022-08-01,Vineyard Haven MA,24,2.5
2022-09-01,Vineyard Haven MA,6,2.5
2022-10-01,Vineyard Haven MA,14,2.5
2020-01-01,Vilnius,2,9.0
2020-02-01,Vilnius,2,9.0
2020-03-01,Vilnius,2,9.0
2020-05-01,Vilnius,4,9.0
2020-06-01,Vilnius,2,9.0
2020-07-01,Vilnius,16,9.0
2020-08-01,Vilnius,10,9.0
2020-09-01,Vilnius,4,9.0
2020-10-01,Vilnius,20,9.0
2020-11-01,Vilnius,6,9.0
2020-12-01,Vilnius,12,9.0
2021-01-01,Vilnius,12,9.0
2021-02-01,Vilnius,6,9.0
2021-03-01,Vilnius,8,9.0
2021-04-01,Vilnius,10,9.0
2021-05-01,Vilnius,12,9.0
2021-06-01,Vilnius,20,9.0
2021-07-01,Vilnius,14,9.0
2021-08-01,Vilnius,24,9.0
2021-09-01,Vilnius,26,9.0
2021-10-01,Vilnius,10,9.0
2021-11-01,Vilnius,16,9.0
2021-12-01,Vilnius,16,9.0
2022-01-01,Vilnius,18,9.0
2022-02-01,Vilnius,24,9.0
2022-03-01,Vilnius,22,9.0
2022-04-01,Vilnius,22,9.0
2022-05-01,Vilnius,18,9.0
2022-06-01,Vilnius,34,9.0
2022-07-01,Vilnius,22,9.0
2022-08-01,Vilnius,20,9.0
2022-09-01,Vilnius,24,9.0
2022-10-01,Vilnius,20,9.0
2020-01-01,Villafranca,12,-0.3333333333333333
2020-02-01,Villafranca,10,-0.3333333333333333
2020-03-01,Villafranca,4,-0.3333333333333333
2020-06-01,Villafranca,4,-0.3333333333333333
2020-07-01,Villafranca,6,-0.3333333333333333
2020-08-01,Villafranca,8,-0.3333333333333333
2020-09-01,Villafranca,12,-0.3333333333333333
2020-10-01,Villafranca,12,-0.3333333333333333
2020-11-01,Villafranca,6,-0.3333333333333333
2020-12-01,Villafranca,2,-0.3333333333333333
2021-01-01,Villafranca,2,-0.3333333333333333
2021-02-01,Villafranca,2,-0.3333333333333333
2021-03-01,Villafranca,8,-0.3333333333333333
2021-04-01,Villafranca,4,-0.3333333333333333
2021-05-01,Villafranca,8,-0.3333333333333333
2021-06-01,Villafranca,6,-0.3333333333333333
2021-07-01,Villafranca,16,-0.3333333333333333
2021-08-01,Villafranca,14,-0.3333333333333333
2021-09-01,Villafranca,8,-0.3333333333333333
2021-10-01,Villafranca,10,-0.3333333333333333
2021-11-01,Villafranca,6,-0.3333333333333333
2021-12-01,Villafranca,8,-0.3333333333333333
2022-01-01,Villafranca,4,-0.3333333333333333
2022-02-01,Villafranca,4,-0.3333333333333333
2022-03-01,Villafranca,10,-0.3333333333333333
2022-04-01,Villafranca,6,-0.3333333333333333
2022-05-01,Villafranca,18,-0.3333333333333333
2022-06-01,Villafranca,22,-0.3333333333333333
2022-07-01,Villafranca,24,-0.3333333333333333
2022-08-01,Villafranca,12,-0.3333333333333333
2022-09-01,Villafranca,8,-0.3333333333333333
2022-10-01,Villafranca,8,-0.3333333333333333
2020-01-01,Vienna,150,-0.14666666666666667
2020-02-01,Vienna,98,-0.14666666666666667
2020-03-01,Vienna,68,-0.14666666666666667
2020-04-01,Vienna,12,-0.14666666666666667
2020-05-01,Vienna,8,-0.14666666666666667
2020-06-01,Vienna,18,-0.14666666666666667
2020-07-01,Vienna,44,-0.14666666666666667
2020-08-01,Vienna,94,-0.14666666666666667
2020-09-01,Vienna,80,-0.14666666666666667
2020-10-01,Vienna,48,-0.14666666666666667
2020-11-01,Vienna,28,-0.14666666666666667
2020-12-01,Vienna,18,-0.14666666666666667
2021-01-01,Vienna,38,-0.14666666666666667
2021-02-01,Vienna,16,-0.14666666666666667
2021-03-01,Vienna,24,-0.14666666666666667
2021-04-01,Vienna,34,-0.14666666666666667
2021-05-01,Vienna,40,-0.14666666666666667
2021-06-01,Vienna,68,-0.14666666666666667
2021-07-01,Vienna,108,-0.14666666666666667
2021-08-01,Vienna,114,-0.14666666666666667
2021-09-01,Vienna,124,-0.14666666666666667
2021-10-01,Vienna,128,-0.14666666666666667
2021-11-01,Vienna,96,-0.14666666666666667
2021-12-01,Vienna,78,-0.14666666666666667
2022-01-01,Vienna,66,-0.14666666666666667
2022-02-01,Vienna,66,-0.14666666666666667
2022-03-01,Vienna,104,-0.14666666666666667
2022-04-01,Vienna,134,-0.14666666666666667
2022-05-01,Vienna,158,-0.14666666666666667
2022-06-01,Vienna,148,-0.14666666666666667
2022-07-01,Vienna,114,-0.14666666666666667
2022-08-01,Vienna,148,-0.14666666666666667
2022-09-01,Vienna,176,-0.14666666666666667
