,ICAO,Airline,Country/Region
0,BOI,2GO,Philippines
1,GNL,135 Airways,United States
2,TBS,Timbis Air,Kenya
3,WYT,2 Sqn No 1 Elementary Flying Training School,United Kingdom
4,TFU,213th Flight Unit,Russia
5,CHD,223rd Flight Unit,Russia
6,TTF,224th Flight Unit,Russia
7,TWF,247 Jet Ltd,United Kingdom
8,SEC,3D Aviation,United States
9,MLA,40-Mile Air,United States
10,QRT,4D Air,Thailand
11,PIU,43 Air School,South Africa
12,ASD,Air Sinai,Egypt
13,SEK,Star East Airline,Romania
14,AIJ,Interjet,Mexico
15,XRC,Express Air Cargo,Tunisia
16,UBE,Bees Airline,Ukraine
17,RYA,Ryan Air Services,United States
18,BRO,2Excel Aviation,United Kingdom
19,GBT,A-Jet Aviation Aircraft Management,Austria
20,AJR,A-Jet Aviation Company,Mongolia
21,SFM,A-Safar Air Services,Nigeria
22,AJJ,A2 Jet Leasing,United States
23,XXV,AASANA,Bolivia
24,BBE,Ababeel Aviation,Sudan
25,NKP,Abakan Air,Russia
26,ABG,Abakan-Avia,Russia
27,ABE,Aban Air,Iran
28,MRP,Abas,Czech Republic
29,AHU,ABC Air Hungary,Hungary
30,FTY,ABC Bedarfsflug,Austria
31,AAB,Abelag Aviation,Belgium
32,BDV,Aberdair Aviation,Kenya
33,ROH,Aberdair Aviation Ghana,Ghana
34,ADJ,Abidjan Air Cargo,Côte d'Ivoire
35,ABP,ABS Jets,Czech Republic
36,TUS,ABSA Cargo,Brazil
37,TTN,Absolute Flight Services,South Africa
38,ABX,ABX Air,United States
39,IAE,AC Insat-Aero,Russia
40,NCL,ACA (Ancargo Air),Angola
41,ACD,Academy Airlines,United States
42,CYD,AccessAir,United States
43,CFM,ACEF,Portugal
44,ARO,Acero Taxi,Mexico
45,AES,ACES Colombia,Colombia
46,BVR,ACM Air Charter,Germany
47,BJT,ACM Aviation,United States
48,CRV,Acropolis Aviation,United Kingdom
49,ORS,Action Air,Italy
50,AXQ,Action Airlines (Action Air Charter),United States
51,AVR,"Active Aero Charter, Inc.",United States
52,RRM,Acvila Air-Romanian Carrier,Romania
53,ADC,AD Astra Executive Charter,Poland
54,VUE,AD Aviation,United Kingdom
55,ADE,Ada Air,Albania
56,DHI,Adam Air,Indonesia
57,ADK,ADC Airlines,Nigeria
58,ADW,ADC Airways,Lebanon
59,DSC,Addis Air Cargo Services,Ethiopia
60,DDS,Addis Airlines,Ethiopia
61,ADF,"Ade, Aviación Deportiva",Spain
62,TEC,ADI Shuttle Group,United States
63,SWH,Adler Aviation,Canada
64,ADR,Adria Airways,Slovenia
65,DRO,Adro Servicios Aereos,Mexico
66,ADV,Advance Air Charters,Canada
67,AXX,Advance Air Luftfahrtgesellschaft,Germany
68,AAX,Advance Aviation,Thailand
69,XTJ,Advance Aviation Services,United States
70,WSN,Advanced Air,United States
71,ADD,Advanced Air Co.,Japan
72,ADV,Advanced Flight Training,United Kingdom
73,RDD,Adygea Airlines,defunct
74,DVN,Adventia,Spain
75,EBS,AEG Aviation Services,United States
76,AEE,Aegean Airlines,Greece
77,ALS,Aeralp,France
78,AEF,Aerea,Spain
79,DRD,Aereo Dorado,Mexico
80,FUT,Aereo Futuro,Mexico
81,MMG,Aereo Ruta Maya,Guatemala
82,AGI,Aereo Transportes Los Angeles de America,Mexico
83,WWG,Aereo WWG,Mexico
84,AED,Aernord,Italy
85,AKR,Aero Clinker,Mexico
86,RRB,Aero Club de Castellon,Spain
87,CND,Aero Continente Dominicana,Dominican Republic
88,ARP,Aero Corporate,Côte d'Ivoire
89,AEK,Aero Costa Rica,Costa Rica
90,EPU,Aero Elite Acapulco,Mexico
91,XPN,Aero Express,Niger
92,AJP,Aero Jets Corporativos,Mexico
93,OWN,Aero Owen,Mexico
94,GHM,Aero Service Bolivia,Bolivia
95,GLM,Aero Services Mali,Mali
96,GUE,Aero Servicio Guerrero,Mexico
97,ASR,Aero Sotravia,France
98,ABA,Aero-Beta,Germany
99,UCR,Aero-Charter Ukraine,Ukraine
100,EAP,Aero-Pyrenees,France
101,AJH,Aeroaljarafe,Spain
102,AOB,Aerocaribe Coro,Venezuela
103,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión",Spain
104,ERC,Aerocharter,Guatemala
105,BSO,Aeroclub Barcelona-Sabadell,Spain
106,NVA,Aeroclub de Albacete,Spain
107,LUE,Aeroclub de Alicante,Spain
108,MLL,Aeroclub de Mallorca,Spain
109,AVX,Aeroclub de Vitoria,Spain
110,CTD,Aerocorporativos,Mexico
111,RRO,Aerocredo,Russia
112,DVI,Aerodavinci,Mexico
113,FAQ,Aerofaq,Ecuador
114,AFL,Aeroflot,Russia
115,PLS,Aeroflot-Plus,Russia
116,AEG,Aerofumigaciones Sam,Chile
117,AGQ,Aerogala,Chile
118,ARH,Aerohelicopteros,Venezuela
119,BJU,AeroJet,Angola
120,ARJ,"Aerojet de Costa Rica, S.A.",Costa Rica
121,LFT,Aerolift Company,Sierra Leone
122,LIN,Aerolimousine,Russia
123,PCP,Aerolínea Principal Chile,Chile
124,ALT,Aerolíneas Centrales,Mexico
125,AHL,Aerolíneas Hidalgo,Mexico
126,APR,Aerolíneas Primordiales,Mexico
127,LDL,Aerologic,Russia
128,VSC,Aeronautic de Los Pirineos,Spain
129,PSE,Aeroservicio Sipse,Mexico
130,PSL,Aeroservicios Corporativos De San Luis,Mexico
131,EAE,Aeroservicios Ecuatorianos,Ecuador
132,AES,Aerosur Paraguay,Paraguay
133,BTS,Aerotaxis Albatros,Mexico
134,PRI,Aerotransportes Privados,Mexico
135,PVA,Aerotransportes Privados,Mexico
136,VMX,Aeroventas de Mexico,Mexico
137,ABU,Aerovías Bueno,Colombia
138,ACB,African Cargo Services,Kenya
139,AAP,Arabasco Air Services,Saudi Arabia
140,AAR,Americ Air,United States
141,AAS,Airtransservice,Russia
142,AAS,Austrian Air Services,Austria
143,AAT,Austrian Airtransport,Austria
144,AAV,Aly Aviation,United Kingdom
145,AAW,Austin Airways,Canada
146,AAW,Allied Airways,United Kingdom
147,AAW,Almeta Air,Austria
148,AAZ,Asian Air,Kyrgyzstan
149,ABT,Ambeo,United Kingdom
150,ABE,Arberia Airlines,Albania
151,ACE,Air Charter Express,Ghana
152,ACQ,Aryan Cargo Express,India
153,ACS,Aircraft Sales and Services,Pakistan
154,ABS,Air Central,United States
155,ADT,Arrendaminetos y Transportes Turisticos,Mexico
156,ADZ,Avio Delta,Bulgaria
157,AED,Aie Experience Flight,United Kingdom
158,AFF,Africa Airways,Benin
159,AFM,AEROSPEED FORMATION ET MAINTENANCE,France
160,FLA,Air Florida,United States
161,MAC,Air Arabia Maroc,Morocco
162,MRY,Air Marine,France
163,PNK,Air Pink,Serbia
164,PXG,Aitheras Aviation Group,United States
165,AFN,African International Airlines,Lesotho
166,ADO,AIRDO,Japan
167,ACC,Airspeed Charter,Jamaica
168,PNX,AIS Airlines,Netherlands
169,AVD,"Álamo Aviación, S.L.",Spain
170,FSY,Algonquin Airlink,Canada
171,TTX,Alliance Air Charters,United States
172,LMU,AlMasria Universal Airlines,Egypt
173,ALN,"Alpha Jet, S.R.O.",Slovakia
174,APN,Alpine Airlines,France
175,BAH,The Amiri Flight,Bahrain
176,AWG,Animawings,Romania
177,TLB,Atlantique Air Assistance,France
178,UJX,Atlas Ukraine Airlines,Ukraine
179,AGM,Aviation West Charters,United States
180,NVD,Avion Express,Lithuania
181,AZB,Azamat,Kazakhstan
182,NGF,Air Charity Network,United States
183,WFT,Aircharters Worldwide,United States
184,ASL,Air Serbia,Serbia
185,LYN,Air Kyrgyzstan,Kyrgyzstan
186,CCM,Air Corsica,France
187,AHS,AHS Air International,Pakistan
188,ROO,Aero Roa,Mexico
189,AWF,Aeroforward,United States
190,SUP,Aeronautical Charters,United States
191,PSO,Aerotaxis Pegaso,Mexico
192,EIN,Aer Lingus,Ireland
193,EUK,Aer Lingus UK,United Kingdom
194,VLB,Air Volta,Bulgaria
195,FCJ,AirSprint US,United States
196,TEW,Airteam Charter,South Africa
197,STT,Alpha Star Charter,Saudi Arabia
198,LBZ,Angkasa Super Service,Indonesia
199,HEZ,Arrow Aviation,Israel
200,UAH,"Air Experience Flight, Cranwell",United Kingdom
201,RVQ,Aero Jet International,United States
202,ASK,Aerosky,Spain
203,AEH,Aero4m,Slovenia
204,ERO,Aeroecom,Venezuela
205,XAU,Aerolink Uganda,Uganda
206,NKY,Aeromonkey,Mexico
207,AWP,Aeroworld Pakistan,Pakistan
208,AGA,AG Air,Georgia
209,ABZ,Air Ambulance Services,Bahamas
210,ROU,Air Canada Rouge,Canada
211,CNM,Air China Inner Mongolia,China
212,VRE,Air Côte d'Ivoire,Ivory Coast
213,AWL,Air Walser,Malta
214,AXY,Air X Charter,Malta
215,OES,ART Aviation,Austria
216,ASF,Austrian Air Force,Austria
217,AVG,Aviation Legacy,Gambia
218,AZY,Aztec Worldwide Airlines,United States
219,ACX,Air Cargo Germany,Germany
220,AAD,Aero Aviation Centre Ltd.,Canada
221,SII,Aero Servicios Ejecutivos Internacionales,Mexico
222,BZS,Aero Biniza,Mexico
223,AET,Aero-Palma,Spain
224,ABM,Aero Albatros,Spain
225,AAF,Aigle Azur,France
226,AAM,Aim Air,Moldova
227,AAO,Atlantis Airlines (USA),United States
228,AAP,Aerovista Airlines,Kyrgyzstan
229,AE,Air Ceylon,defunct
230,AAS,Askari Aviation,Pakistan
231,AAU,Australia Asia Airlines,Australia
232,AAV,Astro Air International,United States
233,AAW,Afriqiyah Airways,Libya
234,AFU,Afrinat International Airlines,Gambia
235,AAX,Afric'air Express,Côte d'Ivoire
236,BRL,Air Brasd'or,Canada
237,AFH,Air Fecteau,Canada
238,BRM,Air 500,Canada
239,AAG,Atlantic Flight Training,United Kingdom
240,AAG,Air Atlantique,United Kingdom
241,AAJ,Air Alma,Canada
242,ACS,Air Cess,Liberia
243,ADT,Air Dorval,Canada
244,AHN,Air Hungaria,Hungary
245,AHR,Air Adriatic,Croatia
246,AHK,Air Hong Kong,Hong Kong
247,AHS,Air Viggi San Raffaele,Italy
248,AAI,Air Aurora,United States
249,ACU,Air Cargo Transportation System,Kenya
250,ACV,Air Charter Service,United Kingdom
251,ADC,Air Atlantic Dominicana,Dominican Republic
252,ADW,Air Andaman,Thailand
253,AEA,Air Europa,Spain
254,AEQ,Air Express,Sweden
255,AEY,Air Italy,Italy
256,ASW,Air Southwest Ltd.,Canada
257,ASX,Air Special,Czech Republic
258,AMU,Air Macau,Macao
259,AMW,Air Midwest,United States
260,SEY,Air Seychelles,Seychelles
261,SFB,Air Sofia,Bulgaria
262,BRF,Air Bravo,Uganda
263,AFR,Air France,France
264,ACG,Air Partner,United Kingdom
265,ACI,Air Caledonie International,France
266,VSG,AirClass Airways,Spain
267,AKX,Air Nippon Network Co. Ltd.,Japan
268,ALM,Air ALM,Netherlands Antilles
269,ALN,Air Lincoln,United States
270,ACM,Air Caledonia,Canada
271,AXE,AirExplore,Slovakia
272,AGM,Air Guam,United States
273,AWI,Air Wisconsin,United States
274,ALU,Air Luxor STP,São Tomé and Príncipe
275,RSI,Air Sunshine,United States
276,AGN,Air Gabon,Gabon
277,RUN,Air ACT,Turkey
278,AFV,Air Afrique Vacancies,Côte d'Ivoire
279,ABN,Air Albania,Albania
280,AAQ,Air Alliance,Canada
281,ATW,Air Antwerp,Belgium
282,ABL,Air Busan,South Korea
283,ACH,Air Cargo Plus,Liberia
284,AAT,Air Central Asia,Kyrgyzstan
285,LEP,Air Costa,India
286,AFS,Air Data,United Kingdom
287,GRL,Air Greenland,Greenland
288,GUY,Air Guyane Express,French Guiana
289,AHO,Air Hamburg,Germany
290,AJX,Air Japan,Japan
291,LIB,Air Liberté,France
292,KLA,Air Lithuania,Lithuania
293,AIM,Air Malawi,Malawi
294,AMI,Air Maldives,Maldives
295,BIE,Air Mediterranee,France
296,MKG,Air Mekong,Vietnam
297,AMG,Air Minas Linhas Aéreas,Brazil
298,MNE,Air Montenegro,Montenegro
299,TAH,Air Moorea,France
300,ANV,Air Nevada,United States
301,ANZ,Air New Zealand,New Zealand
302,ANT,Air North Charter - Canada,Canada
303,AOE,Air One Executive,Italy
304,AEI,Air Poland,Poland
305,AVZ,Air Valencia,Spain
306,AMO,Air Montreal (Air Holdings Inc.),Canada
307,AMR,Air Specialties Corporation,United States
308,AMS,Air Muskoka,Canada
309,AOJ,Avcon Jet,Austria
310,AJU,Air Jetsul,Portugal
311,AKA,Air Korea Co. Ltd.,Republic of Korea
312,LIV,Air Livonia,Estonia
313,ABL,Air BC,Canada
314,ABN,Air Fret Senegal,Senegal
315,LJA,Air Jamahiriya Company,Libya
316,AGB,Air Service Gabon,Gabon
317,AGV,Air Glaciers,Switzerland
318,MVM,Air Cargo America,United States
319,AMY,Air Ambar,Dominican Republic
320,VGA,Air Vegas,United States
321,AOU,Air Tractor,Croatia
322,APA,Air Park Aviation Ltd.,Canada
323,APG,Air People International,Thailand
324,ANA,All Nippon Airways,Japan
325,ANB,Air Navigation And Trading Co. Ltd.,United Kingdom
326,NGO,Air-Angol,Angola
327,TWG,air-taxi Europe,Germany
328,NGP,Air Nigeria,Nigeria
329,SNC,Air Cargo Carriers,United States
330,SND,Air Samarkand,Uzbekistan
331,SNG,Air Senegal International,Senegal
332,SNY,Air Sandy,Canada
333,AII,Air Integra,Canada
334,BFF,Air Baffin,Canada
335,BDM,Air Bandama,Ivory Coast
336,BER,Air Berlin,Germany
337,ABT,Air Brousse,Canada
338,APV,Air Plan International,Democratic Republic of the Congo
339,ARX,"Air Xpress, Inc.",United States
340,HTT,Air Tchad,Chad
341,ARZ,Air Resorts,United States
342,ASB,Air-Spray 1967 Ltd.,Canada
343,ASC,Air Star Corporation,Canada
344,AQN,Air Queensland,Australia
345,ARC,Air Routing International Corp.,United States
346,ARR,Air Armenia,Armenia
347,AIL,Air Illinois,United States
348,AIC,Air India Limited,India
349,AIG,Air Inter Gabon,Gabon
350,SPM,Air Saint Pierre,France
351,WOW,Air Southwest,United Kingdom
352,ATJ,Air Traffic GmbH,Germany
353,ATN,Air Transport International,United States
354,ATQ,Air Transport Schiphol,Netherlands
355,ATS,Air Transport Service,Democratic Republic of the Congo
356,AVG,Air Falcon,Djibouti
357,AUX,Air Uganda International Ltd.,Uganda
358,AVN,Air Vanuatu,Vanuatu
359,BUB,Air Bourbon,Reunion
360,ABD,Air Atlanta Icelandic,Iceland
361,AIE,Air Inuit,Canada
362,AIS,Air Sureste,Spain
363,SBK,Air Srpska,Bosnia and Herzegovina
364,THT,Air Tahiti Nui,France
365,NMB,Air Namibia,Namibia
366,NSK,Air Intersalonika,Greece
367,NTL,Air Anatolia,Turkey
368,SGA,Air Saigon,Vietnam
369,AFW,Afrique Regional Airways,Côte d'Ivoire
370,AFW,Africa World Airlines,Ghana
371,ACX,Air Charters,Canada
372,AEL,Air Europe Italy,Italy
373,AJM,Air Jamaica,Jamaica
374,AWN,Air Niamey,Niger
375,AWT,Air West,Canada
376,AWW,Air Wales,United Kingdom
377,FWI,Air Caraïbes,France
378,AXB,Air India Express,India
379,AXD,Air Express,Sudan
380,BSB,Air Wings,Moldova
381,BTI,Air Baltic,Latvia
382,ANI,Air Atlantic (Nig) Limited,Nigeria
383,ANK,Air Nippon,Japan
384,ANE,Air Nostrum,Spain
385,ANG,Air Niugini,Papua New Guinea
386,ABY,Air Arabia,United Arab Emirates
387,ACA,Air Canada,Canada
388,LAV,AlbaStar,Spain
389,MHS,Air Memphis,Egypt
390,AXL,Air Exel,Netherlands
391,AZF,Air Zermatt AG,Switzerland
392,AZW,Air Zimbabwe,Zimbabwe
393,MHU,Air Memphis,Uganda
394,MKH,Air Marrakech Service,Morocco
395,AZX,Air Max Africa,Gabon
396,RSH,Air Sahara,India
397,ATA,Air Transport Association,United States
398,ATC,Air Tanzania,Tanzania
399,XAC,Air Charter World,United States
400,VBW,Air Burkina,Burkina Faso
401,ATH,Air Travel Corp.,United States
402,AMC,Air Malta,Malta
403,TGA,Air Togo,Togo
404,ASJ,Air Satellite,Canada
405,ASN,Air and Sea Transport,Russia
406,ASS,"Air Class, S.A. de C.V.",Mexico
407,NPL,Air Nepal International,Nepal
408,NPR,Air Napier,New Zealand
409,RSM,Air Somalia,Somali Republic
410,AWZ,AirWest,Sudan
411,AAY,Allegiant Air,United States
412,AAZ,Angus Aviation,Canada
413,ABA,Artem-Avia,Ukraine
414,ABB,African Business and Transportations,Democratic Republic of the Congo
415,ABF,Aerial Oy,Finland
416,ABK,Alberta Citylink,Canada
417,ABO,APSA Colombia,Colombia
418,ABV,Antrak Air,Ghana
419,ABX,Airborne Express,United States
420,ABZ,ATA Brasil,Brazil
421,ACC,Avcard Services,United Kingdom
422,ACY,Atlas Cargo Airlines,Morocco
423,ADA,Airservices Australia,Australia
424,ADB,Antonov Airlines,Ukraine
425,ADG,Aerea Flying Training Organization,Spain
426,ADI,Audeli Air,Spain
427,ADL,Aero Dynamics,United Kingdom
428,ADN,Aero-Dienst,Germany
429,ADP,Aerodiplomatic,Mexico
430,ADY,Air Arabia Abu Dhabi,United Arab Emirates
431,ADQ,Avion Taxi,Canada
432,ADS,Aviones de Sonora,Mexico
433,ADU,Airdeal Oy,Finland
434,AEB,Aero Benin,Benin
435,AEC,Aerocésar,Colombia
436,AED,Aerotrans Airlines,Russia
437,ADX,Anderson Aviation,United States
438,AEI,Aeroexpreso Interamericano,Colombia
439,AEJ,Air Express,Tanzania
440,AEK,Aerocon,Bolivia
441,AEM,Aero Madrid,Spain
442,AEN,Air Enterprise,France
443,AEO,Aeroservicios Ejecutivos Del Occidente,Mexico
444,AEP,Aerotec Escuela de Pilotos,Spain
445,AAC,AmericanConnection,United States
446,AAC,Army Air Corps,United Kingdom
447,AEU,Astraeus,United Kingdom
448,AEV,Aeroventas,Mexico
449,AEW,Aerosvit Airlines,Ukraine
450,AEX,Airway Express,United States
451,AEZ,Aerial Transit,United States
452,AFA,Alfa Air,Czech Republic
453,AFB,American Falcon,Argentina
454,UTY,Alliance Airlines,Australia
455,UVS,Air Universal,Sierra Leone
456,UVT,Auvia Air,Indonesia
457,AFC,African West Air,Senegal
458,AFE,Airfast Indonesia,Indonesia
459,AFG,Ariana Afghan Airlines,Afghanistan
460,AFI,Africaone,The Gambia
461,AFJ,Alliance Air,Uganda
462,AFK,Africa Air Links,Sierra Leone
463,AFO,Aero Empresa Mexicana,Mexico
464,AFQ,Alba Servizi Aerotrasporti,Italy
465,AFX,Airfreight Express,United Kingdom
466,AFY,Africa Chartered Services,Nigeria
467,AFZ,Africa Freight Services,Zambia
468,AGA,Aeronaves Del Centro,Venezuela
469,AGC,Arab Agricultural Aviation Company,Egypt
470,AGF,Atlantic Gulf Airlines,United States
471,SLI,Aeroméxico Connect,Mexico
472,AGG,Algoma Airways,Canada
473,AGH,Altagna,France
474,AGO,Angola Air Charter,Angola
475,AGP,AERFI Group,Ireland
476,AGT,Amadeus IT Group,Spain
477,AGU,Angara Airlines,Russia
478,AGW,Aero Gambia,Gambia
479,AGX,Aviogenex,Serbia
480,BLR,Atlantic Coast Airlines,United States
481,BLZ,Aero Barloz,Mexico
482,PLI,Aeroperú,Peru
483,BMM,Atlas Blue,Morocco
484,BNB,Aero Banobras,Mexico
485,AGY,Aero Flight Service,United States
486,AGZ,Agrolet-Mci,Slovakia
487,AHA,Air Alpha Greenland,Denmark
488,AHC,Azal Avia Cargo,Azerbaijan
489,AHE,"Airport Helicopter Basel, Muller & Co.",Switzerland
490,CJE,Aeroservices Corporate,France
491,AHF,Aspen Helicopters,United States
492,AHG,Aerochago Airlines,Dominican Republic
493,AHH,Airplanes Holdings,Ireland
494,AHP,Aerochiapas,Mexico
495,AHW,Aeromist-Kharkiv,Ukraine
496,AHY,Azerbaijan Airlines,Azerbaijan
497,AIA,Avies,Estonia
498,AIB,Airbus Industrie,France
499,AIH,Air Incheon,South Korea
500,ASV,Air Seoul,South Korea
501,AIK,African Airlines International Limited,Kenya
502,AIN,African International Airways,Eswatini
503,AIP,Alpine Air Express,United States
504,AIU,Alicante Internacional Airlines,Spain
505,ABQ,Airblue,Pakistan
506,THM,Airmark Aviation,Thailand
507,AIR,Airlift International,United States
508,AIT,Airest,Estonia
509,AIV,Airvias S/A Linhas Aéreas,Brazil
510,BES,Aero Services Executive,France
511,AIW,Atlantic Island Airways,Canada
512,AIX,Aircruising Australia,Australia
513,AIY,Aircrew Check and Training Australia,Australia
514,AIZ,Arkia Israel Airlines,Israel
515,AJA,Afghan Jet International Airlines,Afghanistan
516,AJB,Aero JBR,Mexico
517,AJE,Aero Jet Express,Mexico
518,AJI,Ameristar Jet Charter,United States
519,AJK,Allied Air,Nigeria
520,AJO,Aero Ejecutivo,Mexico
521,AJS,Aeroejecutivos Colombia,Colombia
522,AJT,Amerijet International,United States
523,AJV,ANA & JP Express,Japan
524,AJW,Alpha Jet International,United States
525,AJY,AJet,Cyprus
526,AKB,Aktjubavia,Kazakhstan
527,AKC,Arca Aerovías Colombianas Ltda.,Colombia
528,AKF,Anikay Air Company,Kyrgyzstan
529,AKH,Akhal,Turkmenistan
530,MNI,Aeromilenio,Mexico
531,AKK,Aklak Air,Canada
532,AKN,Alkan Air,Canada
533,AKW,Angkor Airways,Cambodia
534,AKZ,AK Navigator LLC,Kazakhstan
535,ALB,Aero Albatros,Mexico
536,ALD,Albion Aviation,United Kingdom
537,ALE,Aeroalas Colombia,Colombia
538,ALF,Allied Command Europe (Mobile Force),Belgium
539,FYS,American Flyers,United States
540,DFA,Aero Coach Aviation,United States
541,ASQ,Atlantic Southeast Airlines,United States
542,ALG,Air Logistics,United States
543,ALL,Aerovallarta,Mexico
544,AWE,America West Airlines,United States
545,TNO,Aerotransporte de Carga Union,Mexico
546,TND,Aero Taxis Cessna,Mexico
547,TMP,Arizona Express Airlines,United States
548,ALO,Allegheny Commuter Airlines,United States
549,ALP,Allpoints Jet,China
550,ALP,Alpliner AG,Switzerland
551,ALQ,Altair Aviation (1986),Canada
552,ALV,Aeropostal Alas de Venezuela,Venezuela
553,ALW,"Alas Nacionales, S.A.",Dominican Republic
554,ALY,Alyeska Air Service,United States
555,ALZ,Alta Flights (Charters) Ltd.,Canada
556,AMA,ATMA,Kazakhstan
557,AMD,Aerolíneas Medellín,Colombia
558,AMF,Ameriflight,United States
559,AMH,Alan Mann Helicopters Ltd.,United Kingdom
560,AMJ,Aviation Amos,Canada
561,AMK,Amerer Air,Austria
562,AMM,Aeroputul International Marculesti,Moldova
563,AMM,Air 2000,United Kingdom
564,AMP,Aero Transporte S.A. (ATSA),Peru
565,AMQ,Aeromedicare Ltd.,United Kingdom
566,AMQ,Aircraft Management and Consulting,Poland
567,AMT,ATA Airlines,United States
568,AMX,Aeroméxico,Mexico
569,AMZ,Amiya Airline,Nigeria
570,ANC,Anglo Cargo,United Kingdom
571,BRP,AeroBratsk,Russia
572,ANH,Alajnihah for Air Transport,Libya
573,ANM,Aerotransportacion de Norteamerica,Mexico
574,ANM,"Antares Airtransport, Maintenance & Service GmbH",Germany
575,ANO,Airnorth,Australia
576,ANQ,Aerolínea de Antioquia,Colombia
577,ANS,Andes Líneas Aéreas,Argentina
578,AOM,AOM French Airlines,France
579,ANW,"Aviación Del Noroeste, S.A. de C.V.",Mexico
580,SAP,Avia Jaynar,Kazakhstan
581,EMS,Aero Servicios Empresariales,Mexico
582,AOA,"Alcon Servicios Aéreos, S.A. de C.V.",Mexico
583,AOC,AVCOM,Russia
584,AOD,Aero Vodochody,Czech Republic
585,AOF,Atair Pty Ltd.,South Africa
586,AOG,Aero VIP,Argentina
587,MUN,Aeromundo Ejecutivo,Mexico
588,MUR,Aerolínea Muri,Mexico
589,AOI,"Astoria, Inc.",Canada
590,NRO,Aero Rent JSC,Russia
591,NRP,Aeronord-Grup,Moldova
592,AOK,Aeroatlantico Colombia,Colombia
593,AOL,Angkor Airlines,Cambodia
594,AON,Aero Entreprise,France
595,AOO,"As, Opened Joint Stock Company",Ukraine
596,AOP,Aeropiloto,Portugal
597,VIV,Aeroenlaces Nacionales,Mexico
598,VIZ,Aerovis Airlines,Ukraine
599,VJE,AvJet Routing,United Arab Emirates
600,VGF,Aerovista Gulf Express,United Arab Emirates
601,VER,Almaver,Mexico
602,AOR,Afro International Ent. Limited,Nigeria
603,SMX,Alitalia Express,Italy
604,AOT,Asia Overnight Express,Philippines
605,AOV,Aero Vision,France
606,AOX,Aerotaxi Del Valle,Colombia
607,APC,"Airpac Airlines, Inc.",United States
608,SVM,Aeroservicios Monterrey,Mexico
609,APF,Amapola Flyg AB,Sweden
610,APH,"Alpha Aviation, Inc.",United States
611,API,"ASA Pesada, Lda.",Angola
612,APJ,Peach Aviation,Japan
613,PET,Aerotransporte Petrolero,Colombia
614,ARF,Aero Flight,Germany
615,BKL,Aircompany Barcol,Russia
616,BLA,All Charter Limited,United Kingdom
617,APL,"Appalachian Flying Service, Inc.",United States
618,APM,"Airpac, Inc.",United States
619,APO,Aeropro,Canada
620,APP,"Aerolíneas Pacífico Atlántico, S.A. (Apair)",Panama
621,APQ,Aspen Aviation,United States
622,APU,"Aeropuma, S.A.",El Salvador
623,APW,Arrow Air,United States
624,APX,Apex Air Cargo,United States
625,APY,APA Internacional,Dominican Republic
626,AQA,"Aeroatlas, S.A.",Colombia
627,AQL,Aquila Air Ltd.,Canada
628,AQO,Aluminum Company Of America,United States
629,AQT,"Aviones de Renta de Quintana Roo, S.A. de C.V.",Mexico
630,AQU,AirQuarius Aviation,South Africa
631,AQZ,Aerodyne Charter Company,United States
632,ARA,Arik Air,Nigeria
633,ARB,Avia Air N.V.,Aruba
634,AWT,Albawings,Albania
635,ARE,"Aires, Aerovías de Integración Regional, S.A.",Colombia
636,ARG,Aerolíneas Argentinas,Argentina
637,ARH,Arrowhead Airways,United States
638,ARI,Aero Vics,Mexico
639,SUN,Antillana De Navegación Aérea,Dominican Republic
640,SUO,Aeroservicios De San Luis,Mexico
641,SUP,Aerosuper,Mexico
642,ARK,Aero Link Air Services S.L.,Spain
643,ARL,Airlec - Air Aquitaine Transport,France
644,ARM,Aeromarket Express,Spain
645,ARO,Arrow Aviation Ltd.,Canada
646,KLD,Air Klaipėda,Lithuania
647,ARQ,"Armstrong Air, Inc.",Canada
648,ARS,Aeromet Servicios,Chile
649,ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.,Colombia
650,ARV,Aravco Ltd.,United Kingdom
651,ARW,Aria,France
652,OST,Airline Alania,Russia
653,HUC,Aerolíneas de Techuacán,Mexico
654,HUT,Aerotransportes Huitzilin,Mexico
655,HUY,Aero Transportes Del Humaya,Mexico
656,ARY,Argosy Airways,United States
657,ASA,"Alaska Airlines, Inc.",United States
658,ASE,Airstars,Russia
659,ASF,"Air Schefferville, Inc.",Canada
660,ASG,African Star Airways (PTY) Ltd.,South Africa
661,ASI,"Aerosun International, Inc.",United States
662,ASM,Awesome Flight Services (PTY) Ltd.,South Africa
663,ASO,Aero Slovakia,Slovakia
664,ASP,Airsprint,Canada
665,ASR,"All Star Airlines, Inc.",United States
666,AST,Aerolíneas Del Oeste,Mexico
667,WAP,Arrow Panama,Panama
668,ASV,Astravia-Bissau Air Transports Ltd.,Guinea-Bissau
669,ASZ,Astrakhan Airlines,Russia
670,ATB,Atlantair Ltd.,Canada
671,ATD,Aerotours Dominicana,Dominican Republic
672,ATE,"Atlantis Transportation Services, Ltd.",Canada
673,ATG,Aerotranscargo,Moldova
674,ATI,Aero-Tropics Air Services,defunct
675,ATK,AeroTACA,Colombia
676,ATM,Airlines of Tasmania,Australia
677,CPV,Air Corporate,Italy
678,ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,Colombia
679,FEO,Aeroferinco,Mexico
