,ICAO,Airline,Country/Region
3099,HCC,Holidays Czech Airlines,Czech Republic
3100,HTR,Holstenair Lubeck,Germany
3101,HMV,Homac Aviation,Luxembourg
3102,HAS,Honduras Airlines,Honduras
3103,CRK,Hong Kong Airlines,Hong Kong
3104,HKC,Hong Kong Air Cargo,Hong Kong
3105,HKE,Hong Kong Express Airways,Hong Kong
3106,HTU,Hongtu Airlines,China
3107,HEX,Honiara Cargo Express,Solomon Islands
3108,HPJ,Hop-A-Jet,United States
3109,QXE,Horizon Air,United States
3110,KOK,Horizon Air Service,United States
3111,HSM,Horizon Air for Transport and Training,Libya
3112,HOR,Horizon Air-Taxi,Switzerland
3113,HZA,Horizon Airlines,Australia
3114,HPS,Horizon Plus,Bangladesh
3115,HUD,Horizons Unlimited,United States
3116,HOZ,Horizontes Aéreos,Mexico
3117,HDI,Hoteles Dinamicos,Mexico
3118,HHO,Houston Helicopters,United States
3119,GGV,Houston Jet Services,Austria
3120,OZU,Hozu-Avia,Kazakhstan
3121,HUB,Hub Airlines,United States
3122,HUS,Huessler Air Service,United States
3123,GMH,Hughes Aircraft Company,United States
3124,HUV,Hunair Hungarian Airlines,Hungary
3125,HUF,Hungarian Air Force,Hungary
3126,HYA,Hyack Air,Canada
3127,HYC,Hydro Air Flight Operations,South Africa
3128,HYD,Hydro-Québec,Canada
3129,HKB,Hawker Beechcraft,United States
3130,MML,Hunnu Air,Mongolia
3131,RPX,HD Air Ltd,United Kingdom
3132,SRD,HM Coastguard,United Kingdom
3133,SRG,HM Coastguard,United Kingdom
3134,WHR,Hummingbird Helicopter Service,United States
3135,EXP,Island Air Express,United States
3136,IWL,Island Wings,Bahamas
3137,KAR,Ikar,Russian Federation
3138,ICN,Iconair,Pakistan
3139,IAC,Interaviation Charter,Romania
3140,ITC,International Air Carrier Association,Belgium
3141,IDG,IDG Technology Air,Czech Republic
3142,IFL,IFL Group,United States
3143,RDE,II Lione Alato Arl,United Kingdom
3144,IJM,IJM International Jet Management,Austria
3145,IKK,IKI International Airlines,Japan
3146,IKN,IKON FTO,Germany
3147,BLU,IMP Aviation Services,Canada
3148,XGG,IMP Group Aviation Services,Canada
